Year,P.cod,Rock.Sole,Flathead,Arrowtooth,POP,Yellowfin,Sablefish,Shark,Atka.Mkrl,Skates,Other
1991,24309.26,5120.55,0,5693.32,388.85,417.65,7.92,0,24.35,0,10889.31
1992,24005.11,7233.9,2.62,4311.22,173.31,892.5,7.85,0,260.9,0,15559.56
1993,20930.81,8713.93,0,1222.75,282.79,1102.18,1.72,0,39.93,0,8127.84
1994,14404.92,3006.3,0,2010.63,170.67,1207.5,1.68,0,43.83,0,4434.19
1995,19776.67,2179.73,2175.17,1177.25,142.3,675.03,12.26,0,210.51,0,1908.96
1996,15173.19,2042.02,3207.68,1844.09,303.45,1797.77,7.12,0,384.24,0,3724.18
1997,8262.61,1522.68,2350.4,984.93,428.03,605.78,2.22,0,83.43,0,3188.34
1998,6255.12,770.34,2047.83,1712.54,616.85,1744.82,2.33,0,10.07,0,2451.32
1999,3220.29,1058.72,1885.43,272.97,120.53,349.75,7.39,0,157.56,0,1884.5
2000,3432.96,2687.86,2510.18,978.99,21.48,1465.9,12.24,0,1.97,0,6418.75
2001,3879.41,1672.87,2199.42,529.92,574.39,594.27,21.31,0,40.99,0,5699.53
2002,5883.18,1885.64,1843.86,607,542.2,768.18,34.43,0,221.1,0,3714.61
2003,5967.922,1418.761,1501.032,617.743,935.002,209.523,48.389,0,762.066,0,2060.344
2004,6436.569,2553.869,2104.457,556.675,393.652,841.178,16.546,0,1052.852,0,1689.403
2005,7413.014,1125.083,2351.668,651.047,652.499,63.255,11.345,0,677.645,0,1620.608
2006,7291.453,1360.65,2862.16,1088.815,735.589,256.043,8.861,0,788.652,0,2703.883
2007,5629.654,510.462,4225.816,2795.117,624.523,85.609,11.996,0,315.172,0,2574.588
2008,6971.46,2149.549,4315.411,1715.439,335.964,552.264,4.659,0,14.89,0,3770.259
2009,7875.283,7591.12,4665.639,2202.093,114.311,270.73,2.914,0,25.257,0,4762.244
2010,6907.723436,2239.740395,4356.625783,1453.895725,230.5086174,1057.45582,1.862466549,0,54.91115729,0,2602.085406
2011,10041.96585,8480.722613,4885.817154,1591.287795,658.2802213,1082.648261,0.726881568,65.68521327,899.6218163,2352.297571,1135.153311
2012,10065.46902,6701.670975,3968.311477,745.5514758,705.4284404,1516.932696,0.888562988,54.88758079,263.4248509,2018.143997,1481.918035
2013,8954.505983,6379.142572,3146.031823,965.6191316,610.8878926,2096.878942,0.308728739,43.23760042,70.19011905,1750.289452,745.989387
2014,5241.375889,4360.313425,2553.870052,737.1513439,1300.183758,1953.54235,0.253401847,75.35120704,116.9941261,808.6752931,2436.816043
2015,8302.736863,1709.239453,2259.786707,402.8234741,2525.460596,863.1951829,0.082890396,51.7640217,202.0634232,823.7813404,2874.7155
2016,4978.788051,1094.680305,1553.875296,276.7084226,3189.950259,870.2327554,18.43132966,59.33002028,68.24486405,422.4664111,1706.516573
2017,6150.566357,1707.763775,908.4776365,204.4927025,4438.314231,577.5443585,95.98293002,91.47587714,60.83784688,447.5184293,2215.968495
2018,4270.772986,1077.16206,973.7465301,270.9712643,3803.665319,743.1996879,396.0378968,61.80646432,543.1692717,507.6302252,2443.558275
2019,6213.33003,1117.018672,1087.189553,421.9618402,7971.997335,443.834637,1236.718901,100.9115892,367.2062223,508.5870186,2026.457763
2020,9184.002196,865.6478512,1970.878018,687.5726383,5969.952228,1211.052035,3452.656245,132.0191375,569.1195172,827.085624,4917.697474
2021,9103.598997,830.4000572,1531.471414,413.2879287,2468.213701,753.9813828,1105.055373,172.5783936,544.9999471,911.713986,1671.182475
2022,3785.260394,677.4555434,948.1257975,241.9788361,1445.485329,887.2225275,320.7487501,55.39018939,156.5929692,560.8190339,677.8975473
2023,3820.839132,549.3703034,843.8503323,245.4747798,1344.440195,749.8673332,486.8009229,270.594241,39.73494705,400.4105938,945.250502
2024,2945.358516,886.581464,962.3381237,339.0183246,1862.154362,519.2305969,125.8397231,130.086877,39.28677356,362.6631647,657.6449631